conta_ID,ID,Data,Valor,Descrição,Categoria,
3185062241,20240404004,2024-04-04,-167.0,COMPRA DABITO ARCA DE NOE 04 04,Pet,
3185062241,20240430001,2024-04-30,-233.3,COMPRA DABITO ARCA DE NOE 3004,Pet,
3185062241,20240404002,2024-04-04,-611.96,COMPRA DABITO ASSAI ATACA 04 04,Mercado,
3185062241,20240312001,2024-03-12,-589.42,COMPRA DABITO ASSAI ATACA 12 03,Mercado,
4563108796,20240517001,2024-05-17,-578.3,COMPRA DABITO ASSAI ATACAD1705,Mercado,
4563108796,20240923004,2024-09-23,-3.04,COMPRA DABITO ASSAI ATACAD2209 ASSAI ATACADISTA,Mercado,
4563108796,20240424003,2024-04-24,-4.0,COMPRA DABITO ASSAI ATACAD2404,Mercado,
4563108796,20240311002,2024-03-11,-37.0,COMPRA DABITO BAR E MERCE 10 03,Alimentação,
4563108796,20240502002,2024-05-02,-9.0,COMPRA DABITO BAR E MERCEA0205,Alimentação,
4563108796,20240708003,2024-07-08,-19.0,COMPRA DABITO BIG STAR CON0607 BIG STAR CONVENIENCIA,Alimentação,
4563108796,20240424002,2024-04-24,-60.6,COMPRA DABITO CABO FRIO DR2404,Geral,
4563108796,20240610001,2024-06-10,-10.35,COMPRA DABITO CAPPTA  ACOU0806 CAPPTA  ACOUGUE CASAL,Alimentação,
4563108796,20240603002,2024-06-03,-12.0,COMPRA DABITO CAPPTA  PADA0106 CAPPTA  PADARIA E CONF,Alimentação,
4563108796,20240708004,2024-07-08,-19.99,COMPRA DABITO CAPPTA  PADA0607 CAPPTA  PADARIA E CONF,Alimentação,
4563108796,20240610002,2024-06-10,-12.0,COMPRA DABITO CAPPTA  PADA0806 CAPPTA  PADARIA E CONF,Alimentação,
4563108796,20240624001,2024-06-24,-12.0,COMPRA DABITO CAPPTA  PADA2206 CAPPTA  PADARIA E CONF,Alimentação,
4563108796,20240701001,2024-07-01,-12.0,COMPRA DABITO CAPPTA  PADA2906 CAPPTA  PADARIA E CONF,Alimentação,
4563108796,20240701002,2024-07-01,-18.6,COMPRA DABITO CAPPTA  PADA3006 CAPPTA  PADARIA E CONF,Alimentação,
3185062241,20240515002,2024-05-15,-35.6,COMPRA DABITO CASA PEDRO  1505,,
3185062241,20240508001,2024-05-08,-29.89,COMPRA DABITO CREDPAY CRE 08 05,,
4563108796,20240422001,2024-04-22,-12.0,COMPRA DABITO DOCE SONHO,Alimentação,
4563108796,20240422002,2024-04-22,-19.89,COMPRA DABITO DOCE SONHO,Alimentação,
